"V1","V2","V3","V4"
-0.5,-11.1111111111111,4.8,-19.0243902439024
1.5,2.22222222222222,8.8,-18.0487804878049
-1.75,15.5555555555556,12.8,-17.0731707317073
0.25,-18.5185185185185,16.8,-16.0975609756098
-0.75,-5.18518518518519,1.6,-15.1219512195122
1.25,8.14814814814815,5.6,-14.1463414634146
-1.25,-14.0740740740741,9.6,-13.1707317073171
0.75,-0.74074074074074,13.6,-12.1951219512195
-0.25,12.5925925925926,17.6,-11.219512195122
1.75,-9.62962962962963,2.4,-10.2439024390244
-1.875,3.7037037037037,6.4,-9.26829268292683
0.125,17.037037037037,10.4,-8.29268292682927
-0.875,-17.037037037037,14.4,-7.31707317073171
1.125,-3.70370370370371,18.4,-6.34146341463414
-1.375,9.62962962962963,3.2,-5.36585365853659
0.625,-12.5925925925926,7.2,-4.39024390243902
-0.375,0.74074074074074,11.2,-3.41463414634146
1.625,14.0740740740741,15.2,-2.4390243902439
-1.625,-8.14814814814815,19.2,-1.46341463414634
0.375,5.18518518518519,0.16,-0.487804878048781
-0.625,18.5185185185185,4.16,0.487804878048781
1.375,-19.5061728395062,8.16,1.46341463414634
-1.125,-6.17283950617284,12.16,2.4390243902439
0.875,7.16049382716049,16.16,3.41463414634147
-0.125,-15.0617283950617,0.96,4.39024390243902
1.875,-1.7283950617284,4.96,5.36585365853659
-1.9375,11.6049382716049,8.96,6.34146341463415
0.0625,-10.6172839506173,12.96,7.31707317073171
-0.9375,2.71604938271605,16.96,8.29268292682927
1.0625,16.0493827160494,1.76,9.26829268292683
-1.4375,-18.0246913580247,5.76,10.2439024390244
0.5625,-4.69135802469136,9.76,11.219512195122
-0.4375,8.64197530864198,13.76,12.1951219512195
1.5625,-13.5802469135802,17.76,13.1707317073171
-1.6875,-0.246913580246915,2.56,14.1463414634146
0.3125,13.0864197530864,6.56,15.1219512195122
-0.6875,-9.1358024691358,10.56,16.0975609756098
1.3125,4.19753086419753,14.56,17.0731707317073
-1.1875,17.5308641975309,18.56,18.0487804878049
0.8125,-16.5432098765432,3.36,19.0243902439024
