"h","F","c","b"
0.242721278146653,-0.0589671953815343,-0.103605577585272,-0.937291577766401
0.749740215728361,-0.489027781055595,-0.404096647074286,0.752870340065316
-0.630489683017371,0.489010103218925,-0.208956854185361,-0.875763252069749
-0.889419147881327,0.572345207940768,0.622137069452716,-0.98601570713586
-0.563113886866427,-0.306701830875661,-0.18416405836645,0.0192074226647865
-0.0532428570953016,-0.160180023643486,0.432067136085637,0.65591650324208
0.488427420853403,-0.10489129401023,-0.258382034346492,-0.391201667877722
-0.954460455326263,-0.527080824364265,0.575498437302352,0.919797631873591
-0.0331946836312186,-0.794663561074291,-0.894451030428151,-0.4083901865401
0.602758317455948,0.723735276780286,0.364508479078121,0.278095862729528
-0.757739519353846,0.897088072162008,0.734039528706694,-0.231218244700581
0.542914877493678,0.632761731661035,0.339194010899394,-0.198695842786547
0.437404640543757,0.0300674645066938,0.260156270689724,-0.734234045244063
-0.209499998281318,-0.377946215879712,0.893025630897617,0.490312827310471
0.191532203623073,0.780067948909599,-0.819096370343153,0.818131458751851
0.75159116820357,0.949621175986411,0.517544755165998,-0.462713237795348
-0.494101703338048,0.411482378333724,0.202957813832231,0.551755185098163
0.332627101605635,-0.705586792186049,-0.467341627315627,0.166452568146013
0.568717916493427,0.0841545831533024,-0.725930654904225,0.745410908608544
0.260882458264456,-0.849424267680504,0.975264601495233,0.51305403383148
0.888506310049905,-0.975736035270241,-0.376808703340367,-0.55540403850276
-0.90304664425098,0.509502890223559,-0.564003345815864,-0.625244376404122
-0.114092773847744,-0.912070950469536,0.0295304672816399,-0.322645102601174
-0.501585667423956,-0.236465501714239,0.932974933520184,-0.0239955077239449
0.0894801460445074,-0.61551333187127,0.0669375924095104,0.95865822536832
-0.366815870490054,0.338692868591586,0.777017787074031,0.402921395116994
0.123139459922458,-0.260479558327119,-0.772866550002943,0.388754877889444
-0.654943569596313,-0.567114353646456,-0.0984950475693405,0.604486880053299
-0.311014750145014,-0.887775368448391,0.835094079338088,0.335880192806247
-0.174190389115817,-0.657082987824079,0.467350595538579,-0.110054490832995
-0.847946391923651,-0.0390417825769898,0.134389652805711,-0.766224817883103
0.360659189773637,0.184018178914368,-0.984115296431289,-0.845576034067572
0.669311495727728,-0.428075390287555,-0.664518629918936,-0.508282483831879
0.97407618737396,0.288399548815281,-0.547000907699546,0.1111403715036
-0.258102942923397,0.377173465643559,-0.0101031484954548,0.099678665470009
-0.738542224664132,0.956402764573258,0.193503267686876,0.209708463369393
-0.415267637566645,0.225046557138524,0.681779505150193,-0.250903333461569
0.834651387241511,0.673774744732784,-0.932505045157899,-0.68547587746423
0.0418144692055087,0.811039119024117,-0.640735783780675,-0.0825172287273557
0.911263645204895,0.115829509745813,-0.308635916953764,0.874128678537709
